PSD,PS,CDS-PP,BE,CDU,PAN,LIVRE,IL,Chega
97,97,0,8,8,2,1,6,11
96,98,0,9,8,1,1,6,11
94,100,0,8,8,1,1,7,11
89,101,1,10,8,1,1,9,10
93,100,0,7,9,1,1,8,11
98,97,0,7,6,2,1,8,11
97,99,0,7,8,1,1,7,10
96,103,0,7,8,1,1,6,8
97,99,0,7,8,1,1,7,10
95,103,0,7,6,1,1,6,11
91,104,0,9,7,2,1,6,10
91,105,0,8,8,1,1,6,10
93,105,0,7,7,1,1,6,10
97,99,0,7,8,1,1,7,10
95,100,0,7,8,2,1,7,10
96,97,0,8,9,1,1,7,11
97,98,0,7,7,1,1,9,10
96,97,0,9,9,1,1,6,11
88,107,0,7,8,2,1,7,10
97,97,0,9,8,1,1,6,11
97,99,0,7,8,1,1,6,11
93,99,0,9,8,1,1,9,10
91,105,0,7,8,1,1,7,10
94,101,0,9,7,1,1,6,11
90,104,0,7,9,1,1,7,11
91,104,0,7,7,1,1,8,11
94,100,0,10,6,1,1,7,11
93,101,0,10,7,1,1,6,11
88,107,0,7,7,2,1,8,10
94,101,0,7,9,2,1,6,10
98,99,0,8,8,1,1,7,8
96,96,1,7,8,2,1,8,11
92,103,0,7,8,2,1,6,11
91,105,0,7,8,1,1,7,10
94,103,0,7,7,1,1,6,11
93,102,0,9,6,2,1,6,11
90,103,0,9,8,2,1,7,10
95,100,0,9,9,1,1,7,8
97,98,0,7,7,1,1,8,11
97,101,0,7,8,1,1,6,9
96,102,0,7,7,1,1,6,10
98,96,0,8,8,2,1,7,10
91,103,0,10,7,1,1,6,11
91,104,0,7,8,1,1,7,11
87,109,0,7,8,1,1,6,11
95,102,0,7,7,1,1,6,11
93,105,0,7,7,1,1,6,10
89,106,0,7,8,2,1,6,11
94,99,0,10,8,1,1,6,11
94,102,0,9,7,1,1,6,10
99,95,0,9,7,1,1,8,10
92,103,0,7,7,1,1,8,11
98,99,0,7,7,1,1,6,11
91,101,0,10,7,1,1,9,10
92,103,0,7,9,1,1,6,11
93,101,0,7,7,2,1,8,11
99,97,0,7,8,1,1,6,11
91,105,0,7,7,2,1,6,11
96,97,0,9,8,2,1,7,10
100,100,0,7,5,1,1,7,9
95,99,0,7,8,2,1,7,11
99,96,0,8,5,2,1,8,11
89,106,0,7,7,2,1,8,10
95,100,0,7,9,1,1,7,10
98,95,0,8,9,1,1,7,11
91,103,0,7,8,1,1,8,11
95,102,0,7,8,1,1,6,10
94,100,0,9,8,2,1,6,10
92,105,0,7,8,1,1,6,10
90,103,0,10,8,2,1,6,10
96,100,0,9,8,2,1,6,8
90,104,0,7,7,2,1,8,11
97,98,0,7,8,2,1,6,11
90,103,0,9,8,2,1,6,11
96,97,0,9,8,2,1,6,11
96,97,0,10,8,1,1,7,10
96,97,0,8,7,2,1,8,11
